data_path,label_path
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_05_111.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_05_111.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_05_112.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_05_112.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_05_113.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_05_113.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_05_114.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_05_114.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_05_121.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_05_121.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_05_122.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_05_122.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_05_123.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_05_123.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_05_124.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_05_124.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_05_131.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_05_131.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_05_132.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_05_132.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_05_133.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_05_133.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_05_134.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_05_134.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_05_141.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_05_141.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_05_142.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_05_142.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_05_143.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_05_143.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_05_144.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_05_144.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_05_211.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_05_211.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_05_212.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_05_212.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_05_213.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_05_213.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_05_214.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_05_214.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_05_221.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_05_221.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_05_222.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_05_222.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_05_223.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_05_223.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_05_224.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_05_224.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_05_231.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_05_231.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_05_232.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_05_232.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_05_233.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_05_233.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_05_234.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_05_234.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_05_241.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_05_241.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_05_242.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_05_242.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_05_243.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_05_243.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_05_244.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_05_244.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_05_311.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_05_311.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_05_312.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_05_312.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_05_313.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_05_313.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_05_314.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_05_314.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_05_321.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_05_321.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_05_322.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_05_322.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_05_323.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_05_323.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_05_324.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_05_324.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_05_331.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_05_331.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_05_332.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_05_332.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_05_333.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_05_333.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_05_334.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_05_334.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_05_341.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_05_341.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_05_342.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_05_342.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_05_343.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_05_343.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_05_344.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_05_344.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_05_411.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_05_411.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_05_412.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_05_412.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_05_413.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_05_413.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_05_414.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_05_414.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_05_421.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_05_421.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_05_422.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_05_422.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_05_423.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_05_423.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_05_424.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_05_424.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_05_431.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_05_431.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_05_432.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_05_432.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_05_433.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_05_433.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_05_434.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_05_434.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_05_441.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_05_441.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_05_442.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_05_442.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_05_443.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_05_443.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_05_444.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_05_444.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_10_111.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_10_111.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_10_112.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_10_112.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_10_113.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_10_113.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_10_114.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_10_114.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_10_121.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_10_121.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_10_122.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_10_122.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_10_123.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_10_123.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_10_124.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_10_124.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_10_131.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_10_131.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_10_132.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_10_132.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_10_133.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_10_133.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_10_134.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_10_134.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_10_141.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_10_141.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_10_142.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_10_142.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_10_143.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_10_143.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_10_144.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_10_144.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_10_211.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_10_211.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_10_212.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_10_212.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_10_213.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_10_213.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_10_214.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_10_214.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_10_221.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_10_221.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_10_222.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_10_222.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_10_223.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_10_223.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_10_224.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_10_224.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_10_231.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_10_231.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_10_232.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_10_232.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_10_233.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_10_233.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_10_234.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_10_234.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_10_241.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_10_241.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_10_242.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_10_242.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_10_243.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_10_243.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_10_244.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_10_244.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_10_311.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_10_311.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_10_312.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_10_312.mat
